fallo,coord,concurrencia,repeticion,warmup_seconds,measure_seconds,fault_probability,delay_seconds,usuarios_objetivo,usuarios_spawneados,requests_total,requests_fail,tasa_error,checkout_total,checkout_fail,checkout_confirmadas,tasa_abortos_checkout,codigos_http_json,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,throughput_rps,locust_cpu_pct_media,locust_cpu_pct_max,locust_mem_mb_media,locust_mem_mb_max,locust_warning_detected,locust_warning_texto,inicio_epoch,duracion_segundos,inicio_utc,fin_utc,ordenes_persistidas,ordenes_sin_factura,facturas_importe_distinto,orden_factura_lineas_distintas,orden_factura_estado,ordenes_stock_ausente_o_distinto,ordenes_descuento_duplicado,inventario_exactamente_una_vez_estado,eventos_stock_negativo,stock_no_negativo_estado,outbox_procesados_saga,outbox_no_resueltos_saga,convergencia_compensacion_ms,convergencia_compensacion_estado,cancelados_compensados_estado,inconsistencias,ordenes_con_inconsistencia,tasa_inconsistencia,oracle_pass
none,2pc,50,2,60.0,300.0,0.0,5.0,50,50,870,0,0.0,409,0,409,0.0,"{""200"": 461, ""201"": 411}",16000,37000,45000,2.694319465983324,0.0,0.0,75.15,77.71,False,,1788695953.024,325.432,2026-09-06T11:59:13.024000+00:00,2026-09-06T12:04:38.456000+00:00,411,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,0,0,0.0,no_verificado
none,2pc,100,2,60.0,300.0,0.0,5.0,100,100,953,54,0.056663,403,13,390,0.032258,"{""0"": 1, ""200"": 509, ""201"": 396, ""500"": 3, ""503"": 50}",36000,66000,75000,2.609871433357607,0.0,0.0,79.22,82.34,False,,1788696512.235,367.327,2026-09-06T12:08:32.235000+00:00,2026-09-06T12:14:39.562000+00:00,399,2,0,0,verificado_con_violaciones,2,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,2,2,0.005013,false
none,2pc,200,2,60.0,300.0,0.0,5.0,200,200,1397,482,0.345025,503,295,208,0.586481,"{""0"": 124, ""200"": 707, ""201"": 210, ""401"": 16, ""409"": 9, ""500"": 99, ""503"": 236}",51000,90000,90000,3.7481937899866726,0.27,50.4,87.11,92.67,False,,1788697219.544,376.94,2026-09-06T12:20:19.544000+00:00,2026-09-06T12:26:36.484000+00:00,389,72,0,0,verificado_con_violaciones,72,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,72,72,0.18509,false
none,2pc,400,2,60.0,300.0,0.0,5.0,400,400,3535,2523,0.71372,276,258,18,0.934783,"{""0"": 2187, ""200"": 994, ""201"": 18, ""401"": 161, ""409"": 6, ""500"": 37, ""503"": 132}",17000,92000,92000,8.963868270490389,0.0,0.0,105.43,111.49,False,,1788698067.594,396.484,2026-09-06T12:34:27.594000+00:00,2026-09-06T12:41:04.078000+00:00,258,44,0,0,verificado_con_violaciones,44,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,44,44,0.170543,false
omission,2pc,50,2,60.0,300.0,0.1,5.0,50,50,779,29,0.037227,364,29,335,0.07967,"{""200"": 415, ""201"": 335, ""500"": 30}",20000,37000,42000,2.2945989445594153,0.0,0.0,74.84,77.14,False,,1788698633.998,342.391,2026-09-06T12:43:53.998000+00:00,2026-09-06T12:49:36.389000+00:00,365,30,0,0,verificado_con_violaciones,30,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,30,30,0.082192,false
omission,2pc,100,2,60.0,300.0,0.1,5.0,100,100,935,43,0.045989,417,43,374,0.103118,"{""200"": 518, ""201"": 375, ""500"": 40, ""503"": 3}",36000,65000,74000,2.617575359946976,0.0,0.8,78.74,81.9,False,,1788699219.613,359.861,2026-09-06T12:53:39.613000+00:00,2026-09-06T12:59:39.474000+00:00,415,40,0,0,verificado_con_violaciones,40,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,40,40,0.096386,false
omission,2pc,200,2,60.0,300.0,0.1,5.0,200,200,1414,445,0.31471,540,312,228,0.577778,"{""0"": 105, ""200"": 741, ""201"": 228, ""401"": 11, ""409"": 18, ""500"": 164, ""503"": 148}",51000,90000,90000,3.659513312285806,0.51,97.7,86.97,92.33,False,,1788699920.132,388.114,2026-09-06T13:05:20.132000+00:00,2026-09-06T13:11:48.246000+00:00,446,138,0,0,verificado_con_violaciones,138,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,138,138,0.309417,false
omission,2pc,400,2,60.0,300.0,0.1,5.0,400,400,3557,2480,0.697217,295,241,54,0.816949,"{""0"": 2137, ""200"": 1023, ""201"": 54, ""401"": 162, ""409"": 5, ""500"": 32, ""503"": 144}",17000,92000,92000,9.013867985820122,0.01,1.5,106.42,112.39,False,,1788700785.625,396.429,2026-09-06T13:19:45.625000+00:00,2026-09-06T13:26:22.054000+00:00,295,75,0,0,verificado_con_violaciones,75,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,75,75,0.254237,false
timing,2pc,50,2,60.0,300.0,0.1,5.0,50,50,795,0,0.0,372,0,372,0.0,"{""200"": 423, ""201"": 373}",18000,37000,43000,2.441111961924005,0.0,0.0,74.2,76.49,False,,1788701348.698,327.552,2026-09-06T13:29:08.698000+00:00,2026-09-06T13:34:36.250000+00:00,373,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,0,0,0.0,no_verificado
timing,2pc,100,2,60.0,300.0,0.1,5.0,100,100,978,65,0.066462,419,26,393,0.062053,"{""200"": 520, ""201"": 394, ""500"": 1, ""503"": 64}",33000,68000,78000,2.7091394223933722,0.0,0.0,78.55,81.13,False,,1788701908.516,363.954,2026-09-06T13:38:28.516000+00:00,2026-09-06T13:44:32.470000+00:00,394,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,0,0,0.0,no_verificado
timing,2pc,200,2,60.0,300.0,0.1,5.0,200,200,1460,537,0.367808,497,271,226,0.545272,"{""0"": 131, ""200"": 697, ""201"": 226, ""401"": 15, ""409"": 24, ""500"": 99, ""503"": 268}",49000,90000,90000,3.84701892258282,0.0,0.0,86.73,92.16,False,,1788702612.619,381.384,2026-09-06T13:50:12.619000+00:00,2026-09-06T13:56:34.003000+00:00,396,63,0,0,verificado_con_violaciones,63,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,63,63,0.159091,false
timing,2pc,400,2,60.0,300.0,0.1,5.0,400,400,3398,2464,0.725132,317,283,34,0.892744,"{""0"": 1928, ""200"": 900, ""201"": 34, ""401"": 198, ""409"": 12, ""500"": 26, ""503"": 300}",17000,92000,92000,8.631584497360045,0.0,0.0,105.71,112.16,False,,1788703467.907,396.113,2026-09-06T14:04:27.907000+00:00,2026-09-06T14:11:04.020000+00:00,277,73,0,0,verificado_con_violaciones,73,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,73,73,0.263538,false
none,saga,50,2,60.0,300.0,0.0,5.0,50,50,951,0,0.0,450,0,450,0.0,"{""200"": 501, ""201"": 451}",16000,29000,34000,2.807023631587442,0.58,97.7,74.66,76.88,False,,1788704048.859,340.491,2026-09-06T14:14:08.859000+00:00,2026-09-06T14:19:49.350000+00:00,451,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,447,4,11608067.052,verificado_parcial_con_pendientes,no_verificado,0,0,0.0,no_verificado
none,saga,100,2,60.0,300.0,0.0,5.0,100,100,1051,9,0.008563,474,7,467,0.014768,"{""200"": 575, ""201"": 468, ""500"": 5, ""503"": 4}",31000,59000,68000,2.841998506207559,0.56,104.2,78.65,81.28,False,,1788704620.976,372.696,2026-09-06T14:23:40.976000+00:00,2026-09-06T14:29:53.672000+00:00,472,4,0,0,verificado_con_violaciones,10,0,verificado_con_violaciones,0,verificado_sin_violaciones,456,12,13718886.608,verificado_parcial_con_pendientes,no_verificado,10,10,0.021186,false
none,saga,200,2,60.0,300.0,0.0,5.0,200,200,1479,423,0.286004,541,227,314,0.419593,"{""0"": 44, ""200"": 742, ""201"": 315, ""401"": 6, ""500"": 92, ""503"": 281}",46000,84000,90000,3.9805766781264036,0.01,1.6,86.37,91.4,False,,1788705333.356,374.421,2026-09-06T14:35:33.356000+00:00,2026-09-06T14:41:47.777000+00:00,398,48,0,0,verificado_con_violaciones,48,0,verificado_con_violaciones,0,verificado_sin_violaciones,347,3,15752165.093,verificado_parcial_con_pendientes,no_verificado,48,48,0.120603,false
none,saga,400,2,60.0,300.0,0.0,5.0,400,400,3671,2630,0.716426,336,300,36,0.892857,"{""0"": 2284, ""200"": 1005, ""201"": 36, ""401"": 151, ""500"": 45, ""503"": 153}",17000,91000,92000,9.323550665525698,0.0,0.0,106.91,112.3,False,,1788706184.024,396.327,2026-09-06T14:49:44.024000+00:00,2026-09-06T14:56:20.351000+00:00,315,50,0,0,verificado_con_violaciones,50,0,verificado_con_violaciones,0,verificado_sin_violaciones,264,1,16956211.666,verificado_parcial_con_pendientes,no_verificado,50,50,0.15873,false
omission,saga,50,2,60.0,300.0,0.1,5.0,50,50,821,57,0.069428,385,57,328,0.148052,"{""200"": 436, ""201"": 328, ""500"": 58}",18000,34000,41000,2.4612379189318454,0.0,0.0,74.36,76.47,False,,1788706762.33,336.263,2026-09-06T14:59:22.330000+00:00,2026-09-06T15:04:58.593000+00:00,386,58,0,0,verificado_con_violaciones,60,0,verificado_con_violaciones,0,verificado_sin_violaciones,325,3,18032364.074,verificado_parcial_con_pendientes,no_verificado,60,60,0.15544,false
omission,saga,100,2,60.0,300.0,0.1,5.0,100,100,1040,59,0.056731,467,54,413,0.115632,"{""200"": 568, ""201"": 413, ""500"": 51, ""503"": 9}",33000,58000,68000,2.8288154636099216,0.0,0.0,78.86,81.33,False,,1788707323.07,370.906,2026-09-06T15:08:43.070000+00:00,2026-09-06T15:14:53.976000+00:00,462,49,0,0,verificado_con_violaciones,49,0,verificado_con_violaciones,0,verificado_sin_violaciones,412,1,19531950.862,verificado_parcial_con_pendientes,no_verificado,49,49,0.106061,false
omission,saga,200,2,60.0,300.0,0.1,5.0,200,200,1519,561,0.369322,547,336,211,0.61426,"{""0"": 53, ""200"": 747, ""201"": 211, ""401"": 6, ""500"": 226, ""503"": 276}",46000,86000,90000,3.938605830513775,0.0,0.0,86.87,91.63,False,,1788708031.324,387.164,2026-09-06T15:20:31.324000+00:00,2026-09-06T15:26:58.488000+00:00,430,193,0,0,verificado_con_violaciones,193,0,verificado_con_violaciones,0,verificado_sin_violaciones,230,7,21126098.912,verificado_parcial_con_pendientes,no_verificado,193,193,0.448837,false
omission,saga,400,2,60.0,300.0,0.1,5.0,400,400,3219,2258,0.70146,272,264,8,0.970588,"{""0"": 2048, ""200"": 953, ""201"": 8, ""401"": 149, ""409"": 4, ""500"": 19, ""503"": 38}",17000,92000,92000,8.166889202152637,0.0,0.8,105.08,111.22,False,,1788708891.418,396.214,2026-09-06T15:34:51.418000+00:00,2026-09-06T15:41:27.632000+00:00,256,74,0,0,verificado_con_violaciones,83,0,verificado_con_violaciones,0,verificado_sin_violaciones,171,11,21478060.601,verificado_parcial_con_pendientes,no_verificado,83,83,0.324219,false
timing,saga,50,2,60.0,300.0,0.1,5.0,50,50,857,0,0.0,403,0,403,0.0,"{""200"": 454, ""201"": 404}",17000,34000,41000,2.6217771522818087,0.6,97.7,74.59,76.52,False,,1788709457.371,329.28,2026-09-06T15:44:17.371000+00:00,2026-09-06T15:49:46.651000+00:00,404,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,393,11,23024167.831,verificado_parcial_con_pendientes,no_verificado,0,0,0.0,no_verificado
timing,saga,100,2,60.0,300.0,0.1,5.0,100,100,1032,79,0.07655,439,26,413,0.059226,"{""0"": 1, ""200"": 540, ""201"": 414, ""500"": 6, ""503"": 72}",32000,63000,75000,2.831945946196436,0.0,0.0,79.37,81.96,False,,1788710010.019,367.098,2026-09-06T15:53:30.019000+00:00,2026-09-06T15:59:37.117000+00:00,419,4,0,0,verificado_con_violaciones,4,0,verificado_con_violaciones,0,verificado_sin_violaciones,412,3,24971123.874,verificado_parcial_con_pendientes,no_verificado,4,4,0.009547,false
timing,saga,200,2,60.0,300.0,0.1,5.0,200,200,1459,337,0.23098,585,250,335,0.42735,"{""0"": 58, ""200"": 787, ""201"": 336, ""401"": 12, ""409"": 1, ""500"": 135, ""503"": 132}",49000,88000,90000,3.7392969650177554,0.5,97.7,86.87,91.82,False,,1788710716.789,392.863,2026-09-06T16:05:16.789000+00:00,2026-09-06T16:11:49.652000+00:00,473,87,0,0,verificado_con_violaciones,87,0,verificado_con_violaciones,0,verificado_sin_violaciones,384,2,26872868.702,verificado_parcial_con_pendientes,no_verificado,87,87,0.183932,false
timing,saga,400,2,60.0,300.0,0.1,5.0,400,400,3454,2417,0.699768,305,293,12,0.960656,"{""0"": 2140, ""200"": 1025, ""201"": 12, ""401"": 185, ""500"": 52, ""503"": 42}",17000,92000,92000,8.796834983747189,0.0,0.0,105.81,111.64,False,,1788711590.965,396.173,2026-09-06T16:19:50.965000+00:00,2026-09-06T16:26:27.138000+00:00,310,118,0,0,verificado_con_violaciones,118,0,verificado_con_violaciones,0,verificado_sin_violaciones,190,2,27854724.785,verificado_parcial_con_pendientes,no_verificado,118,118,0.380645,false
none,2pc,50,3,60.0,300.0,0.0,5.0,50,50,773,0,0.0,361,0,361,0.0,"{""200"": 412, ""201"": 362}",18000,47000,61000,2.3590498783120006,0.6,97.7,74.73,76.46,False,,1788712174.531,330.458,2026-09-06T16:29:34.531000+00:00,2026-09-06T16:35:04.989000+00:00,362,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,0,0,0.0,no_verificado
none,2pc,100,3,60.0,300.0,0.0,5.0,100,100,920,8,0.008696,409,7,402,0.017115,"{""0"": 2, ""200"": 510, ""201"": 403, ""500"": 2, ""503"": 4}",33000,73000,83000,2.628648738799298,0.0,0.0,78.5,81.63,False,,1788712724.835,351.643,2026-09-06T16:38:44.835000+00:00,2026-09-06T16:44:36.478000+00:00,406,1,0,0,verificado_con_violaciones,1,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,1,1,0.002463,false
none,2pc,200,3,60.0,300.0,0.0,5.0,200,200,1458,558,0.382716,537,376,161,0.700186,"{""0"": 128, ""200"": 739, ""201"": 162, ""401"": 23, ""409"": 12, ""500"": 79, ""503"": 316}",48000,90000,90000,4.059987632434029,0.0,0.0,86.46,92.09,False,,1788713424.904,363.9,2026-09-06T16:50:24.904000+00:00,2026-09-06T16:56:28.804000+00:00,327,54,0,0,verificado_con_violaciones,54,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,54,54,0.165138,false
none,2pc,400,3,60.0,300.0,0.0,5.0,400,400,4462,3545,0.794487,400,328,72,0.82,"{""0"": 3196, ""200"": 845, ""201"": 72, ""401"": 198, ""409"": 10, ""500"": 70, ""503"": 71}",17000,90000,92000,11.308461182829092,0.0,0.0,105.62,110.91,False,,1788714268.59,396.219,2026-09-06T17:04:28.590000+00:00,2026-09-06T17:11:04.809000+00:00,311,38,0,0,verificado_con_violaciones,38,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,38,38,0.122186,false
omission,2pc,50,3,60.0,300.0,0.1,5.0,50,50,844,83,0.098341,389,68,321,0.174807,"{""200"": 440, ""201"": 322, ""500"": 42, ""503"": 41}",18000,34000,41000,2.6020004477184826,0.0,0.0,74.47,77.18,False,,1788714831.89,327.704,2026-09-06T17:13:51.890000+00:00,2026-09-06T17:19:19.594000+00:00,364,42,0,0,verificado_con_violaciones,42,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,42,42,0.115385,false
omission,2pc,100,3,60.0,300.0,0.1,5.0,100,100,888,86,0.096847,392,84,308,0.214286,"{""0"": 14, ""200"": 494, ""201"": 308, ""500"": 69, ""503"": 5}",34000,72000,90000,2.6295023971027858,0.0,0.0,78.74,82.12,False,,1788715386.969,340.273,2026-09-06T17:23:06.969000+00:00,2026-09-06T17:28:47.242000+00:00,390,68,0,0,verificado_con_violaciones,68,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,68,68,0.174359,false
omission,2pc,200,3,60.0,300.0,0.1,5.0,200,200,1429,440,0.307908,558,329,229,0.589606,"{""0"": 79, ""200"": 760, ""201"": 229, ""401"": 19, ""409"": 32, ""500"": 137, ""503"": 175}",48000,90000,90000,4.068126556841004,0.0,0.0,85.39,90.57,False,,1788716074.315,353.777,2026-09-06T17:34:34.315000+00:00,2026-09-06T17:40:28.092000+00:00,399,112,0,0,verificado_con_violaciones,112,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,112,112,0.280702,false
omission,2pc,400,3,60.0,300.0,0.1,5.0,400,400,3496,2509,0.717677,323,294,29,0.910217,"{""0"": 1996, ""200"": 958, ""201"": 29, ""401"": 152, ""500"": 44, ""503"": 317}",17000,92000,92000,8.866954036065412,0.53,104.2,104.62,110.2,False,,1788716897.458,396.148,2026-09-06T17:48:17.458000+00:00,2026-09-06T17:54:53.606000+00:00,253,68,0,0,verificado_con_violaciones,68,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,68,68,0.268775,false
timing,2pc,50,3,60.0,300.0,0.1,5.0,50,50,742,0,0.0,345,0,345,0.0,"{""200"": 397, ""201"": 347}",20000,41000,58000,2.210456666213643,0.0,0.0,74.81,77.2,False,,1788717466.523,337.642,2026-09-06T17:57:46.523000+00:00,2026-09-06T18:03:24.165000+00:00,347,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,0,0,0.0,no_verificado
